epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,2.4513034524654906,9.308263695450325,0.09759280720284376,0.09308263695450325,0.06865622937824081,2.4600261093951907,9.576537483166243,0.09895679845059288,0.09576537483166243,0.07024671458294202
2,1.0882042778862848,77.57273290003096,0.7774486320747008,0.7757273290003095,0.7753841108478746,0.39663489423575166,88.98698189435882,0.8936469678602379,0.8898698189435882,0.8896494519872507
3,0.7458506559705779,90.74589910244507,0.9078904887119826,0.9074589910244506,0.9075981711106743,0.3042271379473394,91.97964985784827,0.9237620318907044,0.9197964985784827,0.9197818009286738
4,0.6759699412412002,93.67069018879603,0.9369203731144413,0.9367069018879604,0.9367711269526061,0.2663888800836298,93.29642376178363,0.9377368795342821,0.9329642376178363,0.9328220833880745
5,0.6423275726234828,94.91256576911174,0.9492837580108442,0.9491256576911173,0.949182650108177,0.3095126336926242,92.24898997456232,0.9345089182654926,0.9224898997456232,0.9187698760529406
6,0.612270711653375,96.18152274837512,0.9618561925877226,0.9618152274837511,0.9618272450861564,0.26519545237140063,93.98473739338621,0.9456631422600791,0.9398473739338621,0.939881557729995
7,0.5962928823737011,96.77344475394615,0.9677716651591202,0.9677344475394615,0.9677480707822836,0.2255773433807027,94.91246446206793,0.9515846309502525,0.9491246446206794,0.9487352602399592
8,0.579662521827778,97.56267409470752,0.9756343205445835,0.9756267409470752,0.9756262316472887,0.18320562475440783,96.7379919197965,0.9676060005642707,0.967379919197965,0.9674015218663323
9,0.5740440581022715,97.70194986072424,0.9770368238816209,0.9770194986072424,0.9770240779686696,0.2602961778743314,94.32889420918748,0.9514291348302181,0.9432889420918749,0.9427521905275152
10,0.5664265736342583,97.97276385020118,0.9797318854680074,0.9797276385020117,0.9797289581800682,0.1871514337988255,96.75295525961396,0.9678385177769253,0.9675295525961395,0.96748764077586
11,0.5659880975347228,97.94568245125348,0.9794575894587373,0.9794568245125348,0.9794557706646178,0.18988948567227903,96.7080652401616,0.9673774713021641,0.967080652401616,0.9670456542289324
12,0.555774457791906,98.44862271742495,0.984491424215422,0.9844862271742495,0.9844882155780886,0.18537097537872518,96.75295525961396,0.9680485217081194,0.9675295525961395,0.967554499063951
13,0.5572700425959416,98.43314763231199,0.9843351943760343,0.9843314763231198,0.984331524954371,0.18226487683746856,97.03725871614544,0.9706100526189788,0.9703725871614545,0.9703402336962753
14,0.5484718333748758,98.73878056329309,0.9873956989500456,0.9873878056329309,0.9873905032896463,0.2502499400128973,94.98728116115517,0.9529545402871237,0.9498728116115517,0.9497962923294545
15,0.5519540287768719,98.62658619622408,0.98627133317121,0.9862658619622408,0.9862674055156144,0.18608629590698333,97.15696543468502,0.972017574478626,0.9715696543468502,0.9715975175679181
16,0.5551851307117175,98.34029712163417,0.9834124600742621,0.9834029712163417,0.9834058682352922,0.2103846902714756,96.43872512344755,0.9646204485962457,0.9643872512344756,0.9642489637382057
17,0.5477932474628686,98.74264933457134,0.9874288137638658,0.9874264933457134,0.9874246433959089,0.22672179143317853,95.52596139458328,0.9562670859867736,0.9552596139458327,0.9551685858637269
18,0.5428341864912327,98.93608789848344,0.9893634626790239,0.9893608789848344,0.9893613995295857,0.18829934772136914,96.82777195870118,0.9688675194341901,0.9682777195870118,0.9680984944713877
19,0.5436154898753,98.92448158464872,0.9892504102933938,0.9892448158464872,0.9892468545545791,0.17286794691426158,97.45623223103397,0.9749875790636355,0.9745623223103397,0.9746218574352797
20,0.544203572415671,98.76973073351904,0.987699164351531,0.9876973073351903,0.987696225903683,0.24911747894792094,94.98728116115517,0.9520563980663097,0.9498728116115517,0.9497641667698392
21,0.5410411352345317,98.96316929743114,0.989634820201921,0.9896316929743113,0.9896314643957338,0.1883338381167427,96.87266197815353,0.9692794195493497,0.9687266197815353,0.9687107625943147
22,0.5365778037137344,99.11018260600434,0.9911031648763124,0.9911018260600434,0.9911014273486821,0.18553097009855027,97.20185545413736,0.9725686291852734,0.9720185545413736,0.9719838790682109
23,0.5397175638825485,98.97477561126587,0.9897502945443684,0.9897477561126586,0.9897484106247937,0.1891953352569517,96.87266197815353,0.9692739765609399,0.9687266197815353,0.9686610908580331
24,0.5371590639297086,99.1256576911173,0.9912569902604723,0.991256576911173,0.9912563515210765,0.1787126590646207,97.33652551249439,0.9735387677874268,0.9733652551249439,0.9733231513755249
25,0.5417435212203202,98.9322191272052,0.9893244457390882,0.989322191272052,0.9893225306344462,0.16795332910423058,97.69564566811312,0.9770945436845423,0.9769564566811312,0.9769572210679178
26,0.5393119563041033,99.10244506344785,0.9910254480082101,0.9910244506344785,0.9910240236839497,0.1894363615615593,96.96244201705821,0.9699135571506264,0.969624420170582,0.9696005118227496
27,0.5306550403269995,99.41581553698545,0.9941590769234123,0.9941581553698545,0.9941579825060878,0.19952090276976858,96.85769863833607,0.9690949917053573,0.9685769863833608,0.9685139656329457
28,0.5342306091629732,99.2920148560817,0.9929230098013482,0.9929201485608171,0.9929205013365578,0.20118897180259004,96.52850516235225,0.9660584413412736,0.9652850516235224,0.9651182419447192
29,0.5405703439722855,98.9786443825441,0.98978663000405,0.989786443825441,0.9897856638965351,0.17107625498522652,97.48615891066886,0.9750667072896461,0.9748615891066886,0.9748662884735492
30,0.5308947101055524,99.33457134014238,0.9933460688432221,0.9933457134014237,0.9933454976144225,0.16315871755618028,97.84527906628759,0.9786547459617273,0.9784527906628759,0.9784596748134182
31,0.5315890962477625,99.35391519653358,0.993542085136558,0.9935391519653358,0.9935399987597653,0.17599690054127615,97.4711955708514,0.9748812474515209,0.9747119557085141,0.974676144900804
32,0.5309548445509448,99.42355307954193,0.9942373353302678,0.9942355307954194,0.9942359284172572,0.16248082823200746,97.96498578482718,0.9797987720429453,0.9796498578482717,0.9796593427659586
33,0.5320555490445368,99.36939028164656,0.9936970442338179,0.9936939028164655,0.9936935744647201,0.18648499712854127,97.2467454735897,0.9727052357597823,0.972467454735897,0.9724277403237095
34,0.5329850296493065,99.31135871247292,0.9931121981568056,0.9931135871247292,0.993112623340417,0.1730858578700497,97.590902289391,0.9761810277957695,0.9759090228939099,0.9758784340153794
35,0.5301017857712144,99.41194676570721,0.9941206555828334,0.9941194676570722,0.9941196368317134,0.17347531203477662,97.5310489301212,0.9754400207754521,0.975310489301212,0.9752414149331018
36,0.5283876202564718,99.42742185082018,0.9942762906230301,0.9942742185082017,0.9942746230584578,0.1867744186810885,97.12703875505014,0.9716067697573324,0.9712703875505013,0.9712649657622395
37,0.5286292598477018,99.47771587743732,0.9947768887619798,0.9947771587743732,0.9947766328370456,0.17490344151540127,97.68068232829567,0.9772733840993653,0.9768068232829568,0.9768279888047172
38,0.5291903682701066,99.43129062209842,0.9943133564246189,0.9943129062209842,0.9943127517354858,0.18438478687129548,97.18689211431992,0.9723042781183996,0.9718689211431991,0.9719232548985884
39,0.5270676767446056,99.51640359021975,0.9951665300244222,0.9951640359021975,0.9951647845780182,0.16832602905260308,97.65075564866078,0.9767604557899655,0.9765075564866078,0.976512206168966
40,0.5251077665555075,99.58991024450634,0.995898098235396,0.9958991024450634,0.9958982472230222,0.17902818700340753,97.42630555139907,0.9744255116220307,0.9742630555139907,0.9742524202416494
41,0.5277121500937941,99.45837202104612,0.994584181772483,0.9945837202104612,0.9945838043146977,0.17012424174917506,97.75549902738291,0.9776554122638578,0.9775549902738291,0.9775491184814178
42,0.5265957566467611,99.53187867533272,0.9953194151658968,0.9953187867533272,0.9953187227518193,0.17578328663621784,97.5609756097561,0.976130684289783,0.975609756097561,0.9755671421704885
