epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.7016428729414903,79.53033116682141,0.7953043485745427,0.7953033116682142,0.7945104211039459,0.2430793753479941,92.20409995510998,0.9243513814468546,0.9220409995510999,0.922238259286055
2,0.26020271496409714,91.63571649644074,0.9166019590425692,0.9163571649644073,0.9164264494196709,0.1503295140580897,95.31647463713901,0.9535748522961233,0.9531647463713901,0.9531550247068887
3,0.16194009322457475,94.95899102445064,0.9497637481212957,0.9495899102445063,0.9496502214800563,0.11929000915323174,96.453688463265,0.9648974791995131,0.96453688463265,0.9645129356695129
4,0.1058614353569474,96.88950789229341,0.9689410281928494,0.968895078922934,0.968909179306607,0.10412651288780056,96.96244201705821,0.9698644170931848,0.969624420170582,0.9696590511678992
5,0.07460607752937239,97.79866914268028,0.9779989909613772,0.9779866914268028,0.977990136832548,0.09826373875585136,97.20185545413736,0.9721479863904047,0.9720185545413736,0.9720227831814614
6,0.05603459620394599,98.34416589291241,0.9834589738781058,0.9834416589291242,0.9834479425400152,0.09614093751818963,97.36645219212929,0.9739431536761164,0.9736645219212928,0.9736582572412151
7,0.041705133232565646,98.8393686165274,0.988397655066782,0.9883936861652739,0.988394211482098,0.09781483643885173,97.42630555139907,0.974428762179672,0.9742630555139907,0.974231501449555
8,0.0336051788428958,99.09470752089136,0.9909572685884587,0.9909470752089137,0.9909500183363389,0.09406209504001871,97.5310489301212,0.9753723511613556,0.975310489301212,0.975271392533412
9,0.02755347813422818,99.21463943051687,0.9921510012282612,0.9921463943051687,0.9921479419857402,0.10684854975724839,97.33652551249439,0.973505008404388,0.9733652551249439,0.9733245702159983
10,0.02471710966582344,99.2920148560817,0.99292156525713,0.9929201485608171,0.9929199784793794,0.09737818114337995,97.71060900793057,0.9772087224196048,0.9771060900793057,0.9771039218165783
11,0.020990695309727525,99.40420922315073,0.9940447721741357,0.9940420922315073,0.9940423882935252,0.09113328215713513,97.93505910519228,0.9793822933825591,0.9793505910519228,0.9793276665559826
12,0.021596514931480716,99.35778396781183,0.9935794859627172,0.9935778396781182,0.9935782493114025,0.09741651756771452,97.63579230884334,0.9763479949540502,0.9763579230884334,0.9763180012203957
13,0.016242720212075998,99.56282884555866,0.9956313503255065,0.9956282884555865,0.9956286708524704,0.09033326913210918,97.89016908573994,0.978926882237931,0.9789016908573994,0.9788723611812458
14,0.015134405043795913,99.54348498916744,0.9954360297230407,0.9954348498916744,0.9954348492169557,0.11074789519712037,97.57593894957354,0.9758095821673619,0.9757593894957355,0.975753556122586
15,0.014272824427875636,99.57056638811514,0.9957059875833757,0.9957056638811513,0.995705404424643,0.09522043295865644,97.84527906628759,0.9784741931612211,0.9784527906628759,0.9784226702756975
16,0.014143368507715541,99.63633549984525,0.9963638524103237,0.9963633549984525,0.9963633572124783,0.09488641771569381,97.78542570701781,0.9778922954537116,0.977854257070178,0.9778361717112798
17,0.011436527467519275,99.67502321262766,0.9967507127389901,0.9967502321262767,0.9967501408137024,0.10238360921619147,97.95002244500972,0.9795664021097422,0.9795002244500972,0.9794880179071269
18,0.011465237042698024,99.66341689879295,0.996634198034411,0.9966341689879294,0.9966338693699704,0.0982968115118393,97.93505910519228,0.9794742567537441,0.9793505910519228,0.979349996254617
19,0.012383173010881307,99.66728567007118,0.9966734408346016,0.9966728567007118,0.9966727290392488,0.10138102330864365,97.89016908573994,0.9789202389133814,0.9789016908573994,0.97887742080941
20,0.01174556466493397,99.6866295264624,0.9968669845255582,0.996866295264624,0.9968664941103312,0.09814242535020187,97.95002244500972,0.9795139444321486,0.9795002244500972,0.9794830498949376
21,0.008661321569286017,99.76400495202724,0.9976403939723816,0.9976400495202724,0.997639996704473,0.10172254862982184,98.00987580427952,0.9801823918920168,0.9800987580427951,0.9800893809254169
22,0.010177447086736832,99.6866295264624,0.9968675236348112,0.996866295264624,0.9968665398779892,0.11510020259895096,97.90513242555738,0.9791323500969474,0.9790513242555738,0.9790693915732063
23,0.009990413859140684,99.6595481275147,0.9965966440286212,0.996595481275147,0.9965955618462279,0.13333126197538553,97.17192877450248,0.9721710555024087,0.9717192877450247,0.9716899951130693
