epoch,train_loss,train_top1,train_f1,train_precision,eval_loss,eval_top1,eval_f1,eval_precision
0,2.3316161109612334,16.03159851301115,0.12444456546170375,0.1329093644680313,2.1880540836718954,23.74682029028879,0.30843025069992264,0.7793049365883422
1,2.141747440251867,26.088135068153655,0.23516127982372936,0.2772279681857488,1.5561320678070778,50.26185844794694,0.6272530086470157,0.9780961643972268
2,1.8974312317858841,38.1157063197026,0.3657618602080878,0.4291125084111768,1.131847317429622,64.95585813726402,0.7560881153974793,0.9978883715416711
3,1.760341333781624,44.55545229244114,0.43512971517612964,0.5016021472718739,0.894519518239759,72.07840789493537,0.8104299031252654,0.997218045946162
4,1.6370625934636283,50.3949814126394,0.4942905261960298,0.5637295766071325,0.8352488641091027,73.15576837549091,0.8146860348387288,0.988568980024913
5,1.5542898415928288,53.97304832713755,0.5337949116909595,0.6044645327608849,0.7946750601840272,74.42765225084104,0.8351993400417237,0.9983249491127689
6,1.4573539105489794,58.85223048327138,0.5840971008548157,0.6513751420727487,0.5615867347519643,84.78228341364743,0.905507413148259,0.9991812915499881
7,1.3874086252375606,62.29089219330855,0.6192290149749167,0.6845960249305965,0.5275723269897968,84.58775998232127,0.9059412439098762,0.9985569445766962
8,1.3356570467038964,64.44780049566295,0.6411365503187539,0.7033909891309983,0.5007450419700951,85.35089033584332,0.9107298457485763,0.9987794189948912
9,1.2892624562262307,66.51177199504338,0.6627069671538711,0.7269900665259635,0.4880836274512207,86.00927728324456,0.9160605053129453,0.9990751230912834
10,1.262029016475843,67.39467162329616,0.671415546821273,0.7323347684000574,0.49238402224864214,84.78228339538163,0.9077744861993806,0.9988839842386155
11,1.22735689903576,69.055916976456,0.6895569307310185,0.7491793921132915,0.44248822180254094,86.99685770548801,0.9191470795356949,0.999042773775678
12,1.2052218414741525,70.17503097893433,0.7001133170986149,0.7571825894142347,0.4291905592823214,89.03187191266954,0.9355521721990331,0.99896147296267
13,1.1745171933221403,71.34061338289963,0.7121161754565366,0.7677242642391342,0.4538211957897841,86.53299417228875,0.9190023289335996,0.9988667763978253
14,1.1518576573557422,72.72304832713755,0.7251122093750206,0.7795617181421075,0.3881330746083172,88.79245848015684,0.9315208492434024,0.9987587229469619
15,1.1383740636052695,72.8895600991326,0.727448962507528,0.7812264724381355,0.36556795189948954,90.15412240696938,0.9420042673704019,0.9991109282258466
16,1.1271159097164536,73.4820322180917,0.7332641178707858,0.7871223827717787,0.3660849162994629,90.12419572105561,0.9418413651439264,0.999091226495087
17,1.0978718572094242,74.6243804213135,0.7452518471021133,0.7978773677745568,0.35253557422356246,90.55813257119515,0.9439192555125677,0.9991973949537917
18,1.084409689149892,75.23234200743494,0.7515078392623794,0.8045086069917631,0.336583267959242,90.8125093526582,0.9456951064323764,0.9994004688513142
19,1.07163217497581,75.80545229244115,0.7579669156142672,0.807476679746661,0.3465048436024723,90.85739936583167,0.9478869895857673,0.9993914908474237
20,1.050514708738197,76.6535006195787,0.7655964507753688,0.8122277287501495,0.3135545266507611,92.02453987159255,0.9543112768673963,0.9992593146790363
21,1.0350171447243388,77.31567534076828,0.7715993911247327,0.8170948956729613,0.31253397451373927,92.32380666337505,0.9559079918473459,0.9991545713003143
22,1.0242575294761704,77.84618959107807,0.779185255447041,0.8258623364106643,0.2942289592048534,92.6530001502042,0.9568939099547137,0.9988288433597426
23,1.0073217042021296,78.62840768277572,0.7851403508759025,0.829258952487345,0.30395449180901274,92.33877003059119,0.9551891543209009,0.9985784827173424
24,0.9996812208434463,78.76781288723667,0.7874973599811348,0.8321719585660105,0.28988156925324426,92.9073769173971,0.9590511019105475,0.9993191680383061
25,0.9835901515191372,79.63522304832713,0.7963698956514604,0.841900458716212,0.282740641635602,93.31138711872526,0.9617558753362088,0.9988652800638435
26,0.9789644699114406,79.88305452292441,0.7987812019676224,0.842066189588843,0.2728424546926585,93.80517731158119,0.964681738311713,0.9991075436608879
27,0.9597106461483602,80.71561338289963,0.8064679570274756,0.8486867465927644,0.2739990123567263,93.35627712162423,0.961839072514024,0.9988989475784328
28,0.9481297294889685,81.4474907063197,0.8134614815172975,0.8523350315868911,0.2614615333663584,94.01466406902546,0.9664272031039257,0.998721881390593
29,0.9515126038808953,81.39327757125155,0.8143572406589648,0.8546924480242324,0.2556090607501139,94.32889421717877,0.9679390222666271,0.9987522129224958
30,0.9380368308211495,81.7340458488228,0.8177574336167983,0.8591029145455263,0.2567176942641232,93.87999400553117,0.9648464388963386,0.9989824928924137
31,0.9218823705907204,82.51239157372986,0.8250900546522816,0.8633074485450187,0.2502446988020296,94.35882088768078,0.968138248282606,0.9987430794553345
32,0.9133549085927867,82.71375464684014,0.8258779365844491,0.8624788137392695,0.24186071978702742,94.4486009311519,0.9685007730345873,0.9991158188412416
33,0.9130665207884126,82.79507434944237,0.8277173657547912,0.8658857002490832,0.2315183530288347,95.12195120923768,0.9726885972318353,0.9987751113667618
34,0.8948264746860943,83.57729244114003,0.8357164728387291,0.871057100814304,0.22769936598579843,95.0471345329827,0.971763872700633,0.9988795308636697
35,0.8933919036698608,83.71282527881041,0.8369213836761847,0.8731729930411394,0.21722032980845393,95.70552148038392,0.9761556103314583,0.9989371494384214
36,0.8877611962392871,83.8018897149938,0.837810381127643,0.8734377947580783,0.23432084940765213,94.86757445517333,0.9711672185794125,0.9990645159618674
37,0.8878354705694735,84.022614622057,0.840448774770463,0.8762346438026042,0.21718245340681497,95.72048481563492,0.9761646874737216,0.9990786857912399
