epoch,train_loss,train_accuracy,train_f1,train_precision,eval_loss,eval_accuracy,eval_f1,eval_precision
0,2.3209699827082018,17.3297213622291,0.1425026176738638,0.154309042673013,2.163124898941631,26.125991321262905,0.34384418980476317,0.7397362176952182
1,2.0928159129139807,28.95123839009288,0.2683241444657857,0.3095896199388841,1.4635627962739173,51.33921891423233,0.6275713307175287,0.9581475385306001
2,1.8632520095482699,39.628482972136226,0.3834765363635331,0.4455438967851896,1.0571051747182092,67.78392937289335,0.7728789712665555,0.9928841006201474
3,1.7177577189985813,46.362229102167184,0.4526725173387887,0.5164362192245318,0.8604246174149326,73.42510848421368,0.8194000724598789,0.9857698638336077
4,1.609285178568341,51.524767801857585,0.5077417978907918,0.5761040008108514,0.7171920064179533,77.42032022346338,0.8525332095563494,0.9961244949872811
5,1.5504129939404065,54.28405572755418,0.5350458113867548,0.6006814370485036,0.7406554237090595,76.74696992254536,0.8405705568524907,0.9920311902505529
6,1.4598551650534473,58.413312693498455,0.5791460418666298,0.6486931022408973,0.58304595643133,82.40311238267331,0.8863399396275372,0.9964675829930955
7,1.3804397610687988,62.306501547987615,0.6197740286459332,0.6876024927514874,0.5319786074007055,84.03411641478378,0.8938822308859651,0.9917938550551149
8,1.3350156234513864,64.24148606811146,0.6388190758759646,0.7034938449063839,0.5448378381589278,84.52790662933035,0.8978389129377563,0.9941767669210435
9,1.2949796039622634,66.02941176470588,0.657838009298922,0.7226804756990515,0.47798159614608937,86.0392039503217,0.9114801574579364,0.999307945533443
10,1.2478148976715726,68.05340557275542,0.6777842758376813,0.7377258403361345,0.4851607545646172,85.75490049721505,0.9086397332943112,0.9989409280595873
11,1.2302231581218472,68.80417956656346,0.6852635348397733,0.7455205108359126,0.47803844299017445,85.60526709561574,0.9071150708370106,0.9988253778243303
12,1.1985100582288146,70.3405572755418,0.7031021788239289,0.764273182957394,0.4385968101438462,87.31108783480472,0.9185636057326406,0.9997506110030425
13,1.1798833101526502,70.97136222910217,0.7074927465465384,0.7661009140498308,0.4343824467758174,87.83480473184022,0.9226414007107465,0.9993740336176368
14,1.1543904755506722,72.05108359133126,0.7180414685503687,0.7742490417219523,0.3938759299215043,89.18150531997692,0.9318294978334309,0.9991732754750859
15,1.1383096535877546,72.97600619195046,0.7273501256680555,0.7834838628433831,0.35296159442645175,90.55813257519078,0.9414409439315463,0.9989365340629742
16,1.1176833216619935,73.73839009287926,0.7362705004403917,0.7931302060297805,0.34641160741370364,91.21651953514974,0.9465780951252565,0.9994602509565849
17,1.086283892633007,75.04643962848297,0.7507750904925843,0.8052035419430937,0.41034949157617234,88.14903486800661,0.9276592865545691,0.9995462901605353
18,1.083226738920891,75.0967492260062,0.7495227365728518,0.8034609655265609,0.3916203692058202,89.19646865522792,0.9331085349045428,0.9991152628441271
19,1.0689927687954976,75.71981424148606,0.7563110689619967,0.8100669412501847,0.33047964700267607,91.51578632693224,0.9486407357848864,0.9992981481085624
20,1.0532394553854738,76.69504643962848,0.7669908484188673,0.8203393594279804,0.3060206856919177,92.09935657981269,0.9519573453455926,0.9996633248541075
21,1.036774170103457,77.33359133126935,0.772621387685242,0.8240474808344389,0.31903423419768234,91.74023642076912,0.9505829437660546,0.9991946516748252
22,1.0222826987966296,77.78250773993808,0.7765132614203812,0.8258032950022097,0.3202699513362586,91.1566661713135,0.9459797608297882,0.9991251790256728
23,1.0033251472670965,78.98219814241486,0.788970820308863,0.837453161088996,0.29426592108590793,92.36869670109319,0.953951075615258,0.9991323044255859
24,0.998810740373452,78.93188854489163,0.7875154042723697,0.8334615951643799,0.30082012054075763,92.44351339218913,0.9545786487064197,0.9994128670471628
25,0.980592283412768,79.79489164086688,0.796485606971288,0.8425658355447447,0.27114422171393787,93.65554392539364,0.9627211505184645,0.9989675295525962
26,0.968316866886505,80.46826625386997,0.8039985524021908,0.8512229102167175,0.2669821546723631,94.2091874906479,0.9660514611937787,0.9993166741483365
27,0.9559480677079121,80.75077399380805,0.8070962521310808,0.8524613003095979,0.2627463711649469,93.95481071717614,0.9640288626988068,0.9990959648860291
28,0.9587959722099658,80.62306501547988,0.8063200821366455,0.8518289750110558,0.261653079019591,93.77525063936677,0.9630767425831719,0.9994812708863284
29,0.9422793741565739,81.32739938080495,0.8129175270893525,0.8572226982898403,0.25483420845296734,93.99970074119494,0.9641520779629489,0.9994378059468588
30,0.9267052326409071,82.13622291021672,0.8216754919057551,0.8643125429996554,0.2735657037267709,93.32635044940982,0.9604730314531991,0.9991508304653598
31,0.9271634087473984,81.88467492260062,0.8191124619704345,0.86346343800678,0.2469975309298457,94.64312435334517,0.9689416183704899,0.9993893532274498
32,0.917271092506385,82.53482972136223,0.8252079273925241,0.866662243844905,0.24584487669440813,94.49349094717941,0.9681374605515027,0.9993230870082582
33,0.9015968543826242,83.21594427244582,0.8318750631463475,0.8728725305911821,0.23314115463947083,95.04713452042496,0.9708956266037566,0.9989938935322744
34,0.8931528399234216,83.49845201238391,0.8339694127252171,0.8735346638655433,0.2324448472816181,95.0620978602424,0.9711453097076488,0.9991458426854207
35,0.890613595029518,83.8467492260062,0.8377081666613391,0.8757611860533676,0.2320067564402621,95.07706120005986,0.971341335654495,0.9993979037073455
36,0.8752281388262108,84.27244582043343,0.8422780739142157,0.8811127543122488,0.22026884923942,95.72048481221009,0.9751415270859358,0.9992632336489885
37,0.8731183578355394,84.53173374613003,0.8447287501370324,0.8817386757334498,0.2257440564394461,95.3763279964088,0.9736787039434681,0.9992470233641862
