epoch,train_loss,train_accuracy,train_f1,train_precision,eval_loss,eval_accuracy,eval_f1,eval_precision
0,2.3316163768555596,16.035470879801736,0.12447160878720871,0.1329309390830074,2.1880527857658163,23.74682029028879,0.30843025069992264,0.7793049365883422
1,2.141747881784167,26.088135068153655,0.23515183452695443,0.27721572864960836,1.5562125507914413,50.26185844794694,0.6272386283127019,0.9780961643972268
2,1.897432083090885,38.119578686493185,0.3658157969604446,0.42927399532626503,1.1316910681388486,64.94089479744657,0.7559679392408278,0.9978883715416711
3,1.7603292615883412,44.536090458488225,0.4350112464867008,0.501585738606534,0.8946112566823359,72.10833457457025,0.8105646664229429,0.997218045946162
4,1.6369962492839998,50.410470879801736,0.4944273786327623,0.5638723903884222,0.8346496496695736,73.15576837549091,0.8146007399699483,0.988568980024913
5,1.5545589420136614,53.90334572490706,0.5330006828495795,0.6041918335046821,0.7854898560462767,74.65210234810274,0.8371062567644739,0.9980260860890817
6,1.4580327765796854,59.014869888475836,0.5860646713157167,0.6543338071770924,0.5800211141963179,83.60017956350265,0.8981019059656853,0.9987734994318864
7,1.3873123267326213,61.94237918215613,0.6164685788136534,0.6831274218733553,0.5606738011601191,83.00164596795072,0.8965431448194983,0.9986657688662776
8,1.3336820967283096,64.51363073110285,0.6423109018484292,0.7043182254032627,0.49137552323570405,85.29103697200708,0.9100452658671335,0.9989889057523353
9,1.2948175786891687,66.2213444857497,0.659247861675872,0.7218240669216506,0.5013351743938002,85.41074367342247,0.9123083214336893,0.9985842378480414
10,1.2603185869651803,67.46437422552664,0.6723421380770063,0.7328769975377785,0.48918661274953495,84.97680682385376,0.9087831729172235,0.9987380204213959
11,1.226292202906981,68.96298017348204,0.6877886423324046,0.7461348247477434,0.44729156648793406,86.78737094176488,0.9185714345605147,0.9990502554455869
12,1.2040378690652245,70.113073110285,0.6989803494325263,0.754220526371433,0.4440871653898594,88.3136316031445,0.930963328055401,0.9986406680256746
13,1.1733002371652124,71.60780669144981,0.7145947164288152,0.7714093898021638,0.45440787431920127,86.15891067228613,0.9162012128806247,0.9987724306218994
14,1.1524757819695692,72.51781288723667,0.7234537660552204,0.7777006964448878,0.3999707147726555,88.25377823759584,0.9280311707962118,0.999047301643441
15,1.1365679636911536,72.92828376703841,0.7278026306246784,0.7810088002060583,0.36448329934170554,90.22893910605661,0.9427813235089705,0.9992420355842471
16,1.1242235327298757,73.71437422552664,0.7358327367735676,0.7895779857791942,0.36388749410412935,90.49827920564648,0.9438462337472345,0.9989105263532917
17,1.0979182007439814,74.93029739776952,0.7480489516820515,0.800213230228914,0.33155313477123033,91.41104294535609,0.9498316635985766,0.999231881889371
18,1.0830384096248442,75.24395910780669,0.7527903391034607,0.8042577315463011,0.3398154368929283,90.97710608437124,0.9471061636625284,0.9989596916126918
19,1.0695579565295203,76.06877323420075,0.7596485711125179,0.8067814571967677,0.3364686023666351,91.35118957524098,0.9503345573702092,0.9992293879994015
20,1.0515030719976886,76.77354399008674,0.7669038978165144,0.8146811622822312,0.30881504663428594,91.94972317707176,0.9541340883943867,0.9991246446206793
21,1.035912197170943,77.56350681536556,0.7744091056208554,0.8204534069340061,0.3086175320838073,91.99461319195765,0.9539064549902263,0.9992902130041138
22,1.0227153435663368,77.93912639405204,0.7800469511498195,0.8271385830110277,0.29029405859082863,92.56322011129951,0.9571803368359632,0.9987359540554214
23,1.0068899261611692,78.92270755885997,0.788295594392112,0.8318291241879755,0.3028327063334732,92.29388001113885,0.954929159790334,0.998971351358004
24,1.002215694982323,78.74457868649318,0.7878958745483565,0.8344727213831534,0.30159272801353426,92.39862336817035,0.9552697814558738,0.9990900864311009
25,0.9830356695247258,79.63522304832713,0.7957877926569087,0.8397716097065544,0.29048328014899205,93.05701032812931,0.9600391626835842,0.9989188986981894
26,0.9763586964305891,80.0379491945477,0.8001468975481391,0.8428740306789803,0.27597774890980714,93.52087385961615,0.9635283900166931,0.9991923359198535
27,0.9584205756252435,80.9208488228005,0.8090668095309185,0.8518908982169906,0.2825394629736459,93.11686367369975,0.9605510047282861,0.9987760344299322
28,0.9458348957136218,81.33519206939282,0.8127063361943421,0.8531607383692653,0.27319846141843157,93.71539727724296,0.9644782030978318,0.9986834042310626
29,0.951075883972305,81.17255266418836,0.8120873671875428,0.853424439283525,0.2666135913648239,93.67050726064465,0.9637866891818654,0.998622303926808
30,0.9366364170332085,81.65272614622057,0.816953226700352,0.8578099631247865,0.2549864517996701,94.16429746206268,0.9662444020555627,0.998663274976308
31,0.9188746988699487,82.53562577447336,0.8252580350213478,0.8629898347341429,0.2521686981792099,94.05955409589828,0.9663619124930944,0.9989500723228092
32,0.912908906165552,82.58596654275092,0.8249039549444525,0.861626989435423,0.23502406079701707,94.67305102384717,0.9698778493419767,0.9989042916283676
33,0.9114272898014594,82.92673482032218,0.8288494713628677,0.8659958000745648,0.2393412301680579,94.71794104501193,0.9702679634036802,0.9987326504609162
34,0.8980814929788441,83.55018587360595,0.835494729117661,0.8716320019991028,0.2280709931687397,94.88253779955723,0.9707443192110298,0.9988520980740043
35,0.8939206145214473,83.9141883519207,0.839342546803333,0.8759729908283572,0.21972171735499552,95.45114471262022,0.9746758081378343,0.9989022349788474
36,0.8877694840915732,83.94129491945478,0.8391716814726352,0.873937096782125,0.223271336876381,95.27158463481085,0.9736273292215046,0.9991747005550685
37,0.8870980804589896,83.79801734820322,0.8379706014558973,0.8733736646201812,0.21928733512346713,95.51099805819067,0.9749111271567691,0.9988927128535088
