epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,1.8191383430294414,57.9619312906221,0.6035913808945976,0.5796193129062209,0.5722650170021351,0.9946009822721594,81.55020200508754,0.8276371061253814,0.8155020200508754,0.8139971256752259
2,0.7840835382716275,83.1089445991953,0.8351022935399354,0.831089445991953,0.8312159726744092,0.43538765225531045,88.62786173874008,0.8902019115927197,0.8862786173874009,0.8865646938204773
3,0.4871300419891113,87.5270813989477,0.8771459144773865,0.8752708139894769,0.8756921579341135,0.28978916286940565,91.71030974113422,0.9181093575142767,0.9171030974113422,0.9172673003245806
4,0.3746458559868617,89.77096874032807,0.8988267194401584,0.8977096874032807,0.8979880592768926,0.25865971575628116,92.56322011072872,0.9269411618310852,0.9256322011072872,0.9254673026904167
5,0.32588076976127056,90.75363664500155,0.908310735153878,0.9075363664500155,0.9077548933610763,0.20095876752036998,93.9847373933862,0.9405860130393374,0.9398473739338621,0.9399849745195807
6,0.2816299026787595,91.8910554008047,0.9196171859141374,0.918910554008047,0.9191094040769686,0.18130008728047892,94.52341762681431,0.9465283036602976,0.9452341762681431,0.9453302774505482
7,0.24778500588565225,92.70349736923554,0.927716636048999,0.9270349736923553,0.9272128719421845,0.1690442825387592,94.97231782133773,0.9503334667880656,0.9497231782133773,0.9497209275819138
8,0.22413855044880876,93.206437635407,0.9326649380280797,0.9320643763540699,0.9322262601652357,0.15487486005863993,95.48107137513092,0.9556538552600123,0.9548107137513093,0.9549013843010453
9,0.19706908583004606,94.13107397090684,0.9417786369591676,0.9413107397090684,0.9414428591422722,0.13210137139603922,96.13945832709861,0.9616362126776568,0.961394583270986,0.9614301430908934
10,0.1852569345319116,94.34772516248839,0.9438199027456425,0.9434772516248839,0.9435792366741986,0.13042320603830593,96.00478826874158,0.9603142745573372,0.9600478826874158,0.9600764151895538
11,0.16763163383108143,94.97446610956361,0.9500712311831193,0.949744661095636,0.9498296070095521,0.13061788219294648,96.00478826874158,0.9602077624214319,0.9600478826874158,0.9599718265156895
12,0.15722369834554709,95.11374187558032,0.9514450353624894,0.9511374187558032,0.9512395573112052,0.1157667541127531,96.36390842436032,0.9638017891882553,0.9636390842436031,0.9636432200701719
13,0.1452603604366668,95.63602599814298,0.9566123710073933,0.9563602599814299,0.9564310180136627,0.11686421894445652,96.31901840490798,0.9633083839580365,0.9631901840490797,0.9631642679010702
14,0.13146365917838604,95.93779015784587,0.9595188549589164,0.9593779015784587,0.959426230800227,0.10637328622451037,96.69310190034416,0.9670314147864024,0.9669310190034416,0.9668940518523886
15,0.11833250078023015,96.42138656762612,0.964308054285178,0.9642138656762612,0.9642433735149445,0.10002741600677637,97.11207541523268,0.9712663646606077,0.9711207541523268,0.9711377003454523
16,0.11118705232181773,96.67285670071185,0.9668298487447212,0.9667285670071185,0.9667631890878309,0.10043541141011553,97.00733203651055,0.9704699813864377,0.9700733203651055,0.9700988509793825
17,0.10641629272608961,96.74249458372022,0.9675209313579022,0.9674249458372021,0.9674472400108508,0.08889087029029986,97.45623223103397,0.9746945514149886,0.9745623223103397,0.9745586455984779
18,0.09495953258550119,97.09455277004024,0.9710168323966876,0.9709455277004023,0.9709644995606888,0.08656507042841018,97.63579230884334,0.9764840845227821,0.9763579230884334,0.9763696939935491
19,0.09266151937029746,97.19127205199628,0.9719687076021414,0.9719127205199629,0.9719276521844028,0.08249297010743402,97.75549902738291,0.9775985269914901,0.9775549902738291,0.9775401300037277
20,0.08163984001365397,97.60136180748994,0.9760763748076986,0.9760136180748994,0.976026454267358,0.08750371599953706,97.65075564866078,0.9766414065275735,0.9765075564866078,0.9765178916616974
21,0.07589057675458742,97.72129371711544,0.9772649726367617,0.9772129371711544,0.9772277724066005,0.08306359087753738,97.75549902738291,0.9776976225120327,0.9775549902738291,0.9775577143315511
22,0.071668799010462,97.85670071185392,0.9786093516406331,0.9785670071185392,0.9785782675600855,0.07733163287963193,98.00987580427952,0.9802064667057514,0.9800987580427951,0.9801149638758947
23,0.06966799672800242,97.96889507892294,0.9797048723342382,0.9796889507892294,0.9796943427672928,0.08050582164484067,97.97994912464462,0.9799581166684888,0.9797994912464462,0.9798257618412284
24,0.06947872082318583,97.94568245125348,0.9794901278455203,0.9794568245125348,0.9794646911307892,0.07792484165397426,97.99491246446206,0.9800045855390598,0.9799491246446207,0.9799507706020124
25,0.0634726454685141,98.177808727948,0.9818014979486842,0.98177808727948,0.9817840800604438,0.07932776282259256,98.00987580427952,0.9802708239911212,0.9800987580427951,0.9801157246625388
26,0.05940526274212468,98.25131538223461,0.9825357677707124,0.982513153822346,0.982518749332612,0.07025776860908568,98.18943588208889,0.9819454427335986,0.9818943588208888,0.9818815163681966
27,0.05718822503552943,98.31321572268648,0.983154817002402,0.9831321572268648,0.9831360087431702,0.07135947606760853,98.12958252281909,0.9814032141705455,0.9812958252281909,0.9813096292904226
28,0.04836467524205834,98.59950479727638,0.9860207062692803,0.9859950479727638,0.9860019582078375,0.0751153776366679,98.03980248391441,0.980485506381629,0.9803980248391441,0.980400252371526
29,0.050769305238872076,98.49117920148561,0.9849294545964955,0.9849117920148561,0.984916962482011,0.07036867865309572,98.30914260062846,0.9831528504938285,0.9830914260062846,0.9830903899665443
30,0.04423141114716973,98.6652739090065,0.986664459686876,0.986652739090065,0.9866559878833895,0.06440367663373102,98.39892263953314,0.984030127134074,0.9839892263953315,0.9839883632272795
31,0.04710443348357761,98.64206128133705,0.986444162587288,0.9864206128133705,0.9864279609302731,0.07255483721386399,98.3241059404459,0.9832816853962096,0.983241059404459,0.9832432121738589
32,0.04637884353041068,98.64979882389353,0.9865149954942448,0.9864979882389353,0.9865040947400487,0.06803446758851202,98.23432590154123,0.9824075058174659,0.9823432590154122,0.9823246151523923
33,0.03782579443221194,98.88192510058805,0.9888323951879127,0.9888192510058805,0.9888215808344181,0.07164925962940726,98.3540326200808,0.9835906918991415,0.983540326200808,0.9835398347392316
34,0.040509398619629065,98.80068090374498,0.9880171400395509,0.9880068090374498,0.9880080917838795,0.07535337311242594,98.26425258117612,0.9826983210705705,0.9826425258117611,0.982634065436301
35,0.03757846548678299,98.90126895697927,0.9890148985783382,0.9890126895697926,0.9890122910846251,0.07095946770785153,98.42884931916804,0.9843318024883225,0.9842884931916804,0.984286225115764
36,0.036391559855667145,98.93608789848344,0.9893692864292256,0.9893608789848344,0.9893615874293793,0.06864497007348662,98.42884931916804,0.9844096843718011,0.9842884931916804,0.9843019325158573
37,0.03552289685526709,99.03667595171774,0.9903712503945936,0.9903667595171773,0.9903666133357395,0.06428468394391858,98.48870267843783,0.9849365732524671,0.9848870267843782,0.9848861015420595
38,0.03256010056736483,98.9786443825441,0.989793137177296,0.989786443825441,0.9897870227503054,0.06653295473417051,98.54855603770761,0.9855100084876847,0.9854855603770761,0.9854807887817959
39,0.03438388367354436,98.98638192510059,0.98987137391181,0.9898638192510059,0.9898660479872419,0.0685855367708827,98.47373933862038,0.9847657676288859,0.9847373933862038,0.9847371632616325
40,0.03324442599167634,99.09857629216961,0.9909890798308847,0.990985762921696,0.9909865328188273,0.06881395762736937,98.45877599880293,0.984636506828873,0.9845877599880293,0.9845890636861555
41,0.03038022370852763,99.13726400495203,0.9913811586130324,0.9913726400495203,0.9913749333046101,0.06745521897695636,98.59344605715995,0.985959674508371,0.9859344605715996,0.9859286998192202
42,0.027455675388887844,99.1991643454039,0.991999442456935,0.991991643454039,0.9919933408201825,0.07004616393151798,98.47373933862038,0.9847865369589336,0.9847373933862038,0.984725754433114
43,0.02823560223954677,99.20303311668214,0.9920330614634879,0.9920303311668214,0.9920298668647315,0.07530835060619868,98.48870267843783,0.9849525620112413,0.9848870267843782,0.9848926888703278
44,0.025760228688710755,99.25332714329929,0.9925373899559443,0.9925332714329929,0.9925342822047926,0.06968333595784218,98.54855603770761,0.9855502526723634,0.9854855603770761,0.9854968501667306
