epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.42720081550174366,86.76880222841226,0.8688333280312853,0.8676880222841226,0.8674772703994625,0.11107608950866205,96.31901840490798,0.963921507489141,0.9631901840490797,0.9631166897428167
2,0.08635459741977015,97.28799133395233,0.9729352376834143,0.9728799133395234,0.9728927654946504,0.06968350212095152,97.66571898847823,0.9769514977410798,0.9766571898847822,0.9766897687207725
3,0.048003871208091395,98.545341999381,0.9854666441281178,0.98545341999381,0.9854561089666775,0.04917615944165219,98.54855603770761,0.9856094814983904,0.9854855603770761,0.9854987487187128
4,0.030217129170519327,99.1720829464562,0.9917242253009275,0.9917208294645621,0.9917209599202306,0.04483402779150915,98.75804279515188,0.9876672682250704,0.9875804279515188,0.9875804005991858
5,0.025860667862947852,99.22624574435159,0.9922621657950313,0.9922624574435159,0.9922612791550678,0.05288820129288839,98.66826275624719,0.9867182023905161,0.9866826275624719,0.9866489346254472
6,0.01871443169121364,99.45450324976787,0.9945477003841605,0.9945450324976788,0.9945449867633944,0.04259660279294134,98.98249289241359,0.98985832206086,0.9898249289241359,0.9898193879766635
7,0.01736105831043026,99.45450324976787,0.9945486902912056,0.9945450324976788,0.9945457776795067,0.05342722336394918,98.80293281460422,0.9881880994317872,0.9880293281460422,0.9880525959906584
8,0.0158466824478665,99.52414113277624,0.9952412033857841,0.9952414113277623,0.9952410706249545,0.05161468220825895,98.74307945533442,0.9875018554859725,0.9874307945533443,0.9874276655995347
9,0.012444921086067928,99.57056638811514,0.9957065695708683,0.9957056638811513,0.9957058922721165,0.05252003827752662,98.75804279515188,0.9875743317650997,0.9875804279515188,0.9875654909344952
10,0.012484762451048983,99.62472918601053,0.9962473454479999,0.9962472918601052,0.996247202727404,0.05335966073383099,98.87774951369146,0.9888398565772877,0.9887774951369146,0.988784472378297
11,0.010919299977422593,99.67889198390591,0.9967913026252688,0.9967889198390592,0.996789228070344,0.05694060371833621,98.86278617387401,0.9887513067655858,0.9886278617387401,0.9886365662692844
12,0.010482237019581321,99.67889198390591,0.9967889405210648,0.9967889198390592,0.996788784236916,0.06965509038375832,98.42884931916804,0.9845734121553372,0.9842884931916804,0.984295042101927
13,0.009167937898092726,99.72531723924482,0.9972537930498017,0.9972531723924482,0.997253214021415,0.052026579397879615,98.90767619332635,0.9891217930598648,0.9890767619332635,0.9890825246922755
14,0.010585131610599435,99.66728567007118,0.9966734010522598,0.9966728567007118,0.9966727749146539,0.05194178023294921,99.04234625168337,0.9904292863400962,0.9904234625168338,0.9904142692078277
15,0.008441310117613243,99.70984215413185,0.9970981568885177,0.9970984215413184,0.9970981873439707,0.055003824912471556,98.99745623223103,0.9899916768530991,0.9899745623223103,0.9899639494140534
16,0.0100479928324704,99.6866295264624,0.99686718099585,0.996866295264624,0.9968664431706087,0.051973290680494014,99.04234625168337,0.9904287002303708,0.9904234625168338,0.9904151801404116
