epoch,train_loss,train_top1,train_f1,train_precision,eval_loss,eval_top1,eval_f1,eval_precision
0,2.3316161995926756,16.03159851301115,0.12444034106156857,0.13290521550361284,2.1880542478856793,23.74682029028879,0.30843025069992264,0.7793049365883422
1,2.1417472538304003,26.088135068153655,0.23516127982372936,0.2772279681857488,1.556133704201183,50.26185844794694,0.6272530086470157,0.9780961643972268
2,1.897431711725143,38.1157063197026,0.36575725024762273,0.42912993406173444,1.1318416880862041,64.94089479744657,0.755992110009177,0.9978883715416711
3,1.7603390556581253,44.55545229244114,0.4351256416474279,0.5015360404388061,0.8945236058001852,72.07840789493537,0.8104299031252654,0.997218045946162
4,1.6370606533213619,50.39110904584882,0.4942706182590679,0.5637682080758291,0.8352621209562565,73.15576837549091,0.8146860348387288,0.988568980024913
5,1.5542488587094654,53.97692069392813,0.5337478063399648,0.6043608519561117,0.8010439326729974,74.23312883321421,0.833657636221617,0.9983249491127689
6,1.4588982803375452,58.887081784386616,0.5845026695167608,0.6510980450861951,0.5827675615530001,83.22609607263291,0.8951554761813115,0.9986445296934598
7,1.3890416433820052,61.74488847583643,0.6135657294476461,0.6791755750660267,0.5245342509004147,84.9319167935561,0.9080839915340527,0.9984445251989768
8,1.3383267466463564,64.17673482032218,0.6388373559990137,0.7030757403695368,0.49404452410033944,85.26111028780574,0.9106943762070189,0.999191979649858
9,1.2937104446441858,66.23296158612143,0.6594979443652956,0.7216811804985594,0.4769752764887355,86.24869069863307,0.9179816668763363,0.9991520774103447
10,1.2607827875693935,67.41403345724908,0.6711251001358322,0.7312753813247549,0.4954789260645639,84.88702678780311,0.9084682554564727,0.9988165520448926
11,1.2256904629231091,69.02881040892193,0.689099605848146,0.7497991063046828,0.44429413987440425,87.01182102818127,0.9194663861097429,0.9991973949537918
12,1.2001859027213766,70.26409541511772,0.7004769459148613,0.7563180962083137,0.444913770255974,87.87969474215966,0.9289638780168515,0.9989951404772591
13,1.175058298320723,71.44903965303594,0.7131426721784295,0.7680349597781063,0.4839499161376508,85.91949722607407,0.9136187735773282,0.9987709083773724
14,1.1543798045597997,72.54491945477075,0.7227905042407643,0.7774571494396073,0.3816518809969119,88.95705522271521,0.9333916481893144,0.9990780445052478
15,1.1330206236874747,73.38522304832713,0.7326283107175146,0.786022968989395,0.3624639536794674,90.28879246532641,0.9430833812448203,0.9993104394234126
16,1.1249693945290282,73.57496902106567,0.734328304042451,0.7884343942836037,0.3692792506252205,89.82492892470667,0.939328574245331,0.9990092843960868
17,1.0971720268144336,74.70182775712516,0.7457593120646072,0.7968475246356294,0.3538882427545217,90.52820589612669,0.9437767486750688,0.9993179210933214
18,1.0891940496224897,75.01936183395291,0.7504820743967077,0.8039256626617228,0.3508524555798225,90.43842585722201,0.9429759261885325,0.9991375415945218
19,1.0701829602727218,75.64668525402726,0.7559806919690265,0.8048029012800154,0.33904062918555,91.440969627845,0.9513270753118843,0.9993450138070817
20,1.0486916465387026,76.86648079306072,0.76789194025013,0.8156461848637736,0.31341884634941797,92.27891665762205,0.955894359625805,0.9992838001441922
21,1.0348766199422739,77.5983581164808,0.7752178793121791,0.8211317877616665,0.31174236571701386,91.78512643907985,0.952651809980894,0.9991233976756944
22,1.0237308076618625,77.83457249070632,0.7791802449413044,0.8270231859218848,0.2971248352632861,92.71285350319512,0.9573623027763466,0.9990507995670349
23,1.0079036879421315,78.55870508054522,0.7847115582009938,0.828244213577625,0.2859173167542071,93.17671703411115,0.9601898935889152,0.9989934400977345
24,1.004229370324585,78.62453531598513,0.7852865246575514,0.830905469715299,0.29400871845039445,92.8924135821461,0.9590725796777404,0.9990061848471244
25,0.9815061081297779,79.48032837670384,0.7939185619509118,0.8379076993156929,0.2847063473718316,92.93730360502329,0.9596241657680233,0.9990178348759824
26,0.9788692370518728,79.67394671623296,0.7962250755323852,0.8401812382208524,0.2792078380043878,93.43109380986614,0.9631439559688906,0.9991422799854641
27,0.9581219358219681,80.80467781908303,0.8076226130137119,0.849630261613301,0.285876091968223,93.05701031899642,0.9598969204764658,0.9989302993380502
28,0.9481586145497904,81.46298017348204,0.8149829069844714,0.8563772041757632,0.2583506101622261,94.25407751067107,0.967733751151017,0.9988266247693153
29,0.9527047345186255,81.10672242874845,0.8114421665043342,0.8543345097393652,0.25859731100427163,94.1792608281372,0.9667360363770642,0.9988563733139522
30,0.9368483176018669,81.80374845105328,0.8183425894307114,0.8584638580775891,0.25709911068274593,94.01466409014529,0.965796153578898,0.9989139109182503
31,0.9210318372004389,82.45043370508054,0.8240328794184331,0.8620233007518097,0.24149348685685415,94.7329043785505,0.9705052515572521,0.9988791745936739
32,0.9155277191041571,82.6789033457249,0.826162100419821,0.8628184434963029,0.23896653928140243,94.61319767371027,0.9698728540196813,0.9991123533058291
33,0.9113298122767622,82.81056381660471,0.8284254178698702,0.8669438021232873,0.23982493377598785,94.79275774238674,0.9712699091540561,0.9991620529702229
34,0.8953898441244974,83.8251239157373,0.838431077783224,0.8742987230353643,0.2303516234570985,94.94239113256992,0.971272036648058,0.9988446164040956
35,0.8945002973153541,83.68571871127634,0.8370945604987919,0.873867163681871,0.21633528352461584,95.58581477097724,0.9756290808681861,0.9991086124708748
36,0.8869481441256725,83.79027261462205,0.8379382950198054,0.873703869103499,0.2221849423476577,95.5858147572779,0.9753900368140402,0.9990645159618674
37,0.8878026412617613,83.87546468401487,0.8390570813404131,0.8755105768697782,0.21575911613561677,95.78033817033827,0.9766503391224692,0.9991535024903272
